name, frequency
Mastic Beach,0.12793427230046947
Shelter Island,0.10292397660818714
Greenport,0.08433734939759036
Riverhead,0.08160952111079627
Southold,0.07529043789097409
Belle Terre,0.07058823529411765
Huntington Bay,0.05913978494623656
Ocean Beach,0.059113300492610835
Roslyn,0.056338028169014086
Hewlett Bay Park,0.05172413793103448
Village Of The Branch,0.050359712230215826
Sagaponack,0.0481651376146789
Island Park,0.04778156996587031
Lloyd Harbor,0.04556962025316456
Head Of The Harbor,0.043795620437956206
Poquott,0.043478260869565216
Patchogue,0.042951541850220265
North Haven,0.0425531914893617
Upper Brookville,0.04142011834319527
Russell Gardens,0.0410958904109589
Brookhaven,0.03960369090067775
Amityville,0.03909465020576132
Asharoken,0.038461538461538464
Oyster Bay Cove,0.038461538461538464
Lindenhurst,0.03816046966731898
Baxter Estates,0.0379746835443038
Brightwaters,0.03767123287671233
Nissequogue,0.037383177570093455
Freeport,0.03694874851013111
Hewlett Neck,0.03636363636363636
Matinecock,0.03614457831325301
Islandia,0.036011080332409975
Islip,0.03563772775991426
Cedarhurst,0.034764826175869123
Northport,0.033967391304347824
Westhampton Beach,0.03203342618384401
Babylon,0.032024950555301995
East Hampton,0.031126119512553223
"Long Beach",0.030388978930307942
Huntington,0.03031280232183167
Kensington,0.030303030303030304
Southampton,0.030257453773334515
West Hampton Dunes,0.03
Great Neck,0.029232643118148598
Great Neck Estates,0.028112449799196786
Laurel Hollow,0.028037383177570093
Lake Grove,0.028004667444574097
Muttontown,0.027950310559006212
Hempstead,0.027315599830436625
Roslyn Harbor,0.02727272727272727
Lawrence,0.027149321266968326
Plandome Heights,0.02631578947368421
Sea Cliff,0.02564102564102564
Quogue,0.025477707006369428
Saddle Rock,0.02531645569620253
Port Jefferson,0.025094102885821833
Westbury,0.024434389140271493
Roslyn Estates,0.024
Sag Harbor,0.02384500745156483
Valley Stream,0.023818820773135494
East Williston,0.023474178403755867
Bellport,0.022950819672131147
Lake Success,0.022388059701492536
Smithtown,0.02227859269879784
Mineola,0.022151898734177215
"Glen Cove",0.022066738428417654
East Hills,0.02204724409448819
North Hempstead,0.021980863718644945
Saltaire,0.021897810218978103
Great Neck Plaza,0.021645021645021644
Thomaston,0.021505376344086023
Plandome,0.02142857142857143
Oyster Bay,0.020266232002173323
New Hyde Park,0.020080321285140562
Woodsburgh,0.02
Garden City,0.01981230448383733
Munsey Park,0.0196078431372549
Kings Point,0.01948051948051948
North Hills,0.01910828025477707
Rockville Centre,0.01896664486592544
Floral Park,0.01717557251908397
East Rockaway,0.017152658662092625
Old Field,0.01694915254237288
Lynbrook,0.016830294530154277
Old Westbury,0.016713091922005572
Hewlett Harbor,0.01639344262295082
Port Washington North,0.0163265306122449
Malverne,0.016320474777448073
Sands Point,0.01597444089456869
Manor Haven,0.014457831325301205
Centre Island,0.014285714285714285
Flower Hill,0.014018691588785047
Old Brookville,0.013215859030837005
Farmingdale,0.012844036697247707
Stewart Manor,0.01282051282051282
Massapequa Park,0.012705530642750373
Bellerose,0.012658227848101266
Lattingtown,0.011695906432748537
Atlantic Beach,0.010714285714285714
Bayville,0.01015228426395939
Mill Neck,0.01
Williston Park,0.007532956685499058
Brookville,0.005235602094240838
Cove Neck,
Dering Harbor,
Plandome Manor,
Shoreham,
South Floral Park,
